,Unnamed: 0,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
137,137,133,"Abilene Christian 15 seed, ✅",Slnd,10,8–2,101.3226,98.284,.5887133,52.699,48.693,15.971,23.19,26.3212,24.978,32.3163,27.875,53.158,48.1116,34.6166,33105,65.9260,-1.3102
221,221,214,Air Force,MWC,10,5–5,103.6176,108.2248,.3794214,52.1116,54.8309,15.453,16.6224,23.6287,20.910,26.8289,23.929,51.2109,51.1229,35.6136,38.7306,67.6172,-2.6167
114,114,111,Akron,MAC,10,3–7,96.9288,92.225,.6384111,47.6291,43.65,17.8173,16.6224,20.4337,30.6265,22.1343,32.8198,46.3287,45.448,32.7248,27.26,68.6129,-3.6214
91,91,89,Alabama,SEC,10,3–7,100.4243,93.637,.690489,47304,46.750,20.2292,15.9267,28167,29.4224,32.3163,24.941,45.7301,46.976,32.7248,3152,67.5178,-2.3152
358,358,346,Alabama A&M,SWAC,10,1–9,88.2345,112.2307,.0592346,47.5296,50.2152,21317,20.356,26.2217,33314,22.7337,43.5335,47.2271,48114,32.3256,36.5238,64.4313,-8.4351
350,350,338,Alabama St.,SWAC,10,4–6,94.0323,115.3331,.0876338,45.4321,52.4241,18.7228,20.547,30.2102,32.4305,42.219,38.8300,44.7320,53.7300,30.9308,33.1109,67.1198,-5.5293
263,263,254,Albany,AE,10,5–5,98.6263,106.7221,.2881254,51.5140,52.5243,21317,19.483,25.9230,27148,26.6296,24.635,50.5144,51225,35.1146,36.6240,65.9260,-3.7220
357,357,345,Alcorn St.,SWAC,10,3–7,91.1338,115.7335,.0598345,47.7288,50.5173,25.1351,15311,34.435,28.2187,34.5108,41.8322,48.4235,54.3310,30.8309,28.610,65.6278,-6.3323
198,198,192,American,Pat,10,4–6,103.4180,105.8206,.4333192,54.157,51.4206,18.8231,16.6224,28.9143,23.745,27287,32.3189,57.512,53.6299,31.8284,3152,67.3189,-5.1271
214,214,207,Appalachian St.,SB,10,3–7,104.8151,108.7258,.3947207,51.9125,54.3292,17.7167,15311,27.3186,25.6101,40.632,2653,52.380,52.7275,34.3177,38.3300,71.246,-5268
167,167,162,Arizona,P12,10,3–7,100.4242,99.599,.5252162,47.8286,52.3238,18.5216,17.8157,27.8173,21.113,32.4160,36.7272,48.2246,53.3294,31.5297,33.8138,66.4233,-3.7220
60,60,59,"Arizona St. 11 seed, ✅",P12,10,7–3,110.768,97.478,.812859,51.8130,48.693,18190,19.483,28.1165,31.3282,47.26,40.3312,50163,49.7171,36.8100,31.358,7073,0.936
