,Unnamed: 0,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
153,153,149,"Abilene Christian 15 seed, ✅",Slnd,29,27-6,101.8203,100.4113,.5411149,52.498,49.6123,17.496,23.49,27.7200,27.8159,34.5139,38.4297,49.8197,49.2133,38.319,33.5118,66.9280,-2.781
238,238,230,Air Force,MWC,31,14-18,99.8250,105.8231,.3375230,51.3142,53.6300,19.3228,17.8222,23.2319,24.118,28.3293,28.661,53.164,53.6303,32.3274,35.7249,67.6242,-10.7215
112,112,109,Akron,MAC,31,17-16,98.4266,92.820,.6621109,48.2286,45.512,17.387,19.1131,25.1272,29.9250,27.7303,30.6117,48.8229,46.128,31.7296,29.611,67.3256,-8167
57,57,56,Alabama,SEC,34,18-16,107.597,95.743,.791656,50.3189,48.991,19.5241,16.9271,31.578,28166,3848,29.684,49.9192,48.5102,34193,33.3105,69.9122,-0.555
359,359,347,Alabama A&M,SWAC,32,5-27,87.1350,109.5288,.0670347,45.8335,53.7306,22.3331,2145,28190,32.1312,25.1332,38.8303,45333,54.1318,31.6302,35.3224,66.9283,-22.8353
348,348,336,Alabama St.,SWAC,29,12-19,93.4328,111.8320,.1123336,46.1331,53281,21313,21.238,31.674,32.4316,37.460,36.9273,44.7338,53.6303,32.1284,34.7193,68.3210,-13.8280
278,278,269,Albany,AE,31,12-20,97.8280,106.6244,.2703269,49.3237,52.1234,20.9312,18.5166,27.3210,28.3176,32.5196,30.2103,46.9292,51215,34.8150,35.9261,67.1267,-15.7312
362,362,350,Alcorn St.,SWAC,27,10-21,88.7345,112.7332,.0602350,45.7338,52.7267,24.1348,18.2186,30.1105,31.5291,30.5250,36.5264,45333,55.3336,31.3308,32.155,66.9284,-16.9327
190,190,184,American,Pat,30,15-15,101.6207,103.5169,.4473184,53.267,48.255,18.7185,17.7227,26.1244,27.4142,35.894,34.8227,55.620,50169,32.5262,29.26,67.8234,-11.3226
202,202,196,Appalachian St.,SB,29,11-21,105.4137,108.2269,.4264196,51.4136,53.8312,17.8122,17.4245,25.9250,29.8244,3769,34.1215,51.3118,52.8281,34.4168,37.3313,72.631,-14.1284
106,106,103,Arizona,P12,32,17-15,103.8165,97.775,.6674103,49254,50.9177,16.757,20.368,28.4174,25.969,33.3178,35232,48.1249,51.9253,33.6212,32.980,68.1221,-4.5112
61,61,60,"Arizona St. 11 seed, ✅",P12,33,23-10,108.672,97.368,.779760,50.8170,48.255,18.8194,19137,32.160,26.6101,44.23,38.4297,50.5161,46.845,34.2179,33.3105,71.851,-0.254
54,54,53,Arkansas,SEC,33,18-15,109.563,97.166,.799753,51.3142,49.4113,18.4160,22.615,28.5171,35.1349,38.441,41.5331,50.9143,48.9121,34.6159,33.5118,71.849,-2.476
344,344,332,Arkansas Pine Bluff,SWAC,31,12-19,93.9326,111.1311,.1260332,48.4277,51.6207,22.1328,19.797,29.1144,30.7271,42.410,45347,47290,50.8206,34193,35.5238,66.9281,-14.1286
244,244,236,Arkansas St.,SB,30,13-19,102.3192,108.9277,.3290236,47.2311,51.6207,19.4235,17.1262,33.730,29.8244,37.949,43.7343,46.5302,50.2180,32.3274,36266,69.3145,-12.6251
237,237,229,Army,Pat,31,13-19,96.1304,101.8142,.3402229,49.6223,53.3294,16.546,18.7155,21.6339,22.98,24.3340,28.456,51136,53.4295,31.8294,35.4233,7174,-13.9281
